stratum,events,configured_b1,configured_b2,lam_ratio_min,lam_ratio_median,lam_ratio_max,near_unobservable_fraction
0,100,0.8222222222222222,0.5333333333333333,4.859307792057848e-13,0.9934426148948176,0.9997386363476782,0.1
1,100,0.6444444444444445,1.0666666666666669,4.85882520968538e-13,0.7763082236057117,0.9984993167517736,0.3
2,100,0.4666666666666667,1.6,4.858825173301252e-13,4.902680126080536e-13,0.9930472611268596,0.53
