arm,stratum,k,age,dropped,regime,mechanisms,target_frac,n_top,b1,b2,n_dropped,lev_hit,lam_ratio
C,0,8,3.0,"[19, 23, 24, 25, 27, 30, 34, 39]",,,,,0.8222222222222222,0.5333333333333333,8,0.06803804048784538,4.902680055374424e-13
C,0,8,3.0,"[1, 3, 7, 21, 29, 30, 35, 38]",,,,,0.8222222222222222,0.5333333333333333,8,0.3659091813963688,0.9892404660451507
C,0,8,3.0,"[0, 1, 4, 11, 22, 28, 40, 43]",,,,,0.8222222222222222,0.5333333333333333,8,0.4195927012902409,0.5639562488438103
C,0,8,3.0,"[14, 17, 26, 29, 30, 35, 38, 40]",,,,,0.8222222222222222,0.5333333333333333,8,0.03851973243884179,0.9961854847408618
C,0,8,3.0,"[3, 11, 16, 19, 23, 29, 37, 41]",,,,,0.8222222222222222,0.5333333333333333,8,0.07938662486784044,0.9973735302905872
C,0,8,3.0,"[10, 11, 13, 16, 19, 30, 38, 41]",,,,,0.8222222222222222,0.5333333333333333,8,0.07799295417517663,0.9974935496038879
C,0,8,3.0,"[2, 3, 9, 12, 29, 30, 32, 36]",,,,,0.8222222222222222,0.5333333333333333,8,0.03422838929009118,0.9990978818657051
C,0,8,3.0,"[2, 8, 17, 23, 26, 30, 43, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.22731559285727637,0.7814023026103762
C,0,8,3.0,"[2, 7, 16, 25, 28, 31, 34, 39]",,,,,0.8222222222222222,0.5333333333333333,8,0.2368581421596314,0.9919866790670171
C,0,8,3.0,"[2, 7, 18, 20, 27, 37, 41, 42]",,,,,0.8222222222222222,0.5333333333333333,8,0.20036924434644957,0.9957533862951438
C,0,8,3.0,"[3, 9, 15, 17, 19, 22, 28, 34]",,,,,0.8222222222222222,0.5333333333333333,8,0.036137218306999286,0.9989139474634825
C,0,8,3.0,"[4, 5, 7, 29, 39, 40, 43, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.35707182682424765,0.989913607633302
C,0,8,3.0,"[5, 14, 15, 17, 21, 36, 39, 40]",,,,,0.8222222222222222,0.5333333333333333,8,0.005208298966100843,0.9995462207542748
C,0,8,3.0,"[5, 10, 17, 19, 23, 28, 36, 38]",,,,,0.8222222222222222,0.5333333333333333,8,0.003847863946656617,0.9996247512619091
C,0,8,3.0,"[0, 1, 4, 13, 19, 23, 30, 38]",,,,,0.8222222222222222,0.5333333333333333,8,0.40070487737740423,0.5648068823288102
C,0,8,3.0,"[2, 9, 14, 18, 19, 24, 27, 32]",,,,,0.8222222222222222,0.5333333333333333,8,0.06577533039295136,0.9961696642716349
C,0,8,3.0,"[5, 8, 9, 35, 40, 41, 43, 44]",,,,,0.8222222222222222,0.5333333333333333,8,0.2111822400109932,0.7833237528237093
