seed,level,run_id,events,b1_mean,b1_std,b1_min,b1_max,b2_mean,b2_std,b2_min,b2_max,n_rx_mean,n_rx_std,n_rx_min,n_rx_max,u_lmax_mean,u_lmax_std,u_lmax_min,u_lmax_max,u_trace_mean,u_trace_std,u_trace_min,u_trace_max,held_mean,held_std,held_min,held_max
2,bw00_floor,paper1_s002_bw00_floor,1100,0.0,0.0,0.0,0.0,6606.0,3810.5102020595614,12.0,13200.0,538.0,0.0,538.0,538.0,0.39997816612601017,0.0,0.39997816612601017,0.39997816612601017,0.23700134147159677,0.0,0.23700134147159677,0.23700134147159677,0.0,0.0,0.0,0.0
2,bw01_10kbps,paper1_s002_bw01_10kbps,1100,0.8403434343434343,0.18389908088906168,0.0,1.0,17.518646464646466,30.081267707656608,1.0444444444444445,134.86666666666667,575.8154545454546,8.275458640007775,538.0,583.0,0.0953245652542572,0.17034722655095383,7.002347619672594e-07,0.39997816612601017,0.04544606892667812,0.08595345708603783,2.1420881489094156e-06,0.23699334765504065,0.23916666666666664,0.420995768231329,0.0,1.0
2,bw02_100kbps,paper1_s002_bw02_100kbps,1100,0.8403434343434343,0.18389908088906168,0.0,1.0,17.51282828282828,30.084009171414174,1.0444444444444445,134.86666666666667,575.8154545454546,8.275458640007775,538.0,583.0,0.09532456253992029,0.17034722806963953,7.002347619672594e-07,0.39997816612601017,0.045446063033244846,0.08595345859029205,2.1420881489094156e-06,0.23699334765504065,0.24219696969696972,0.42279848292364347,0.0,1.0
2,bw03_1mbps,paper1_s002_bw03_1mbps,1100,0.8403434343434343,0.18389908088906168,0.0,1.0,17.512101010101006,30.08434575326001,1.0444444444444445,134.86666666666667,575.8154545454546,8.275458640007775,538.0,583.0,0.09532456154660589,0.17034722862545945,7.002347619672594e-07,0.39997816612601017,0.04544606093937782,0.08595345969702349,2.1420881489094156e-06,0.23699334765504065,0.23765151515151517,0.4199931333887066,0.0,1.0
2,bw04_oracle,paper1_s002_bw04_oracle,1100,0.8412525252525253,0.1820660891273315,0.4666666666666667,1.0,16.8530101010101,29.601381262455313,1.0444444444444445,133.86666666666667,575.8563636363637,8.192974010729918,559.0,583.0,0.09532391010132767,0.17034759220172604,1.044682902865589e-07,0.39997816612601017,0.0454438615220871,0.08595288485852898,1.149352389603433e-06,0.23699334765504065,1.0,0.0,1.0,1.0
3,bw00_floor,paper1_s003_bw00_floor,1100,0.0,0.0,0.0,0.0,6606.0,3810.5102020595614,12.0,13200.0,538.0,0.0,538.0,538.0,0.39997816612601017,0.0,0.39997816612601017,0.39997816612601017,0.23700134147159677,0.0,0.23700134147159677,0.23700134147159677,0.0,0.0,0.0,0.0
3,bw01_10kbps,paper1_s003_bw01_10kbps,1100,0.8403434343434343,0.18389908088906168,0.0,1.0,17.50640404040404,30.086885178992866,1.0444444444444445,134.86666666666667,575.8154545454546,8.275458640007775,538.0,583.0,0.09532455318083113,0.1703472332941276,6.959367427518305e-07,0.39997816612601017,0.04544607292607594,0.08595346158769887,2.148822039476279e-06,0.2369934514537575,0.24143939393939393,0.42285847724912745,0.0,1.0
3,bw02_100kbps,paper1_s003_bw02_100kbps,1100,0.8403434343434343,0.18389908088906168,0.0,1.0,17.500080808080806,30.089818025621536,1.0444444444444445,134.86666666666667,575.8154545454546,8.275458640007775,538.0,583.0,0.09532454936207474,0.1703472354286665,6.959367427518305e-07,0.39997816612601017,0.045446066823636284,0.08595346406911651,2.148822039476279e-06,0.2369934514537575,0.2378030303030303,0.4204933028819781,0.0,1.0
3,bw03_1mbps,paper1_s003_bw03_1mbps,1100,0.8403434343434343,0.18389908088906168,0.0,1.0,17.49913131313131,30.09028291027259,1.0444444444444445,134.86666666666667,575.8154545454546,8.275458640007775,538.0,583.0,0.09532454882673502,0.17034723572822655,6.959367427518305e-07,0.39997816612601017,0.045446064743138934,0.08595346516879301,2.148822039476279e-06,0.2369934514537575,0.2390909090909091,0.421121256822377,0.0,1.0
3,bw04_oracle,paper1_s003_bw04_oracle,1100,0.8412525252525253,0.1820660891273315,0.4666666666666667,1.0,16.840020202020202,29.607129979680757,1.0444444444444445,133.86666666666667,575.8563636363637,8.192974010729918,559.0,583.0,0.09532389737851622,0.17034759930606932,1.044682902865589e-07,0.39997816612601017,0.04544386547451328,0.08595289066387321,1.149352389603433e-06,0.2369934514537575,1.0,0.0,1.0,1.0
