event_id,arm,regime,stratum,configured_b1,configured_b2,lev_hit,precomputed_lam_ratio,expected_availability,mean_configured_age,mean_freshness,lam_min,lam_ratio,observability_loss,u_lmax,u_trace
0,C,,0,0.8222222222222222,0.5333333333333333,0.0680380404878453,4.902680055374424e-13,0.8222222222222222,0.5333333333333333,0.8222222222222222,2.7884922853089844e-12,4.902680206105081e-13,0.9999999999995097,0.3999781661245212,0.11830067822948503
1,C,,0,0.8222222222222222,0.5333333333333333,0.3659091813963688,0.9892404660451508,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.6264926365049375,0.9892404660438983,0.010759533956101741,4.346230529627177e-06,4.207767955061629e-06
2,C,,0,0.8222222222222222,0.5333333333333333,0.4195927012902409,0.5639562488438103,0.8222222222222222,0.5333333333333333,0.8222222222222222,3.207608049151893,0.5639562488435496,0.43604375115645044,0.00030872741733019114,9.666552344564406e-05
3,C,,0,0.8222222222222222,0.5333333333333333,0.0385197324388417,0.9961854847408618,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.665993746595602,0.9961854847402372,0.0038145152597628407,1.5301125454890275e-06,8.753481381604274e-06
4,C,,0,0.8222222222222222,0.5333333333333333,0.0793866248678404,0.9973735302905872,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.672750980819067,0.9973735302890785,0.0026264697109215085,1.0522993599623594e-06,5.061357908514648e-06
5,C,,0,0.8222222222222222,0.5333333333333333,0.0779929541751766,0.997493549603888,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.673433613419792,0.9974935496040771,0.002506450395922899,1.0040927194333493e-06,7.426642969925544e-06
6,C,,0,0.8222222222222222,0.5333333333333333,0.0342283892900911,0.9990978818657053,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.682558557214845,0.9990978818649738,0.0009021181350261642,3.6081191737134356e-07,2.20264906236815e-06
7,C,,0,0.8222222222222222,0.5333333333333333,0.2273155928572763,0.7814023026103762,0.8222222222222222,0.5333333333333333,0.8222222222222222,4.444373691428008,0.7814023026097006,0.21859769739029944,0.00011175717730374532,6.477723721339895e-05
8,C,,0,0.8222222222222222,0.5333333333333333,0.2368581421596314,0.9919866790670172,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.642112243547566,0.9919866790665586,0.008013320933441426,3.22796696546227e-06,5.633947010054236e-06
9,C,,0,0.8222222222222222,0.5333333333333333,0.2003692443464495,0.9957533862951438,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.663536104794592,0.9957533862949596,0.004246613705040425,1.7041781972810158e-06,2.0419318547090856e-06
10,C,,0,0.8222222222222222,0.5333333333333333,0.0361372183069992,0.9989139474634824,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.681512395441459,0.9989139474626524,0.0010860525373476149,4.344583774689736e-07,1.633107859017968e-05
11,C,,0,0.8222222222222222,0.5333333333333333,0.3570718268242476,0.989913607633302,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.630321256861964,0.9899136076315576,0.010086392368442443,4.071552448215615e-06,1.7319849849751262e-06
12,C,,0,0.8222222222222222,0.5333333333333333,0.0052082989661008,0.9995462207542748,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.685108569626745,0.9995462207555998,0.00045377924440015427,1.8141259653169592e-07,1.822036806861402e-05
13,C,,0,0.8222222222222222,0.5333333333333333,0.0038478639466566,0.9996247512619092,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.685555226757007,0.9996247512605249,0.0003752487394751425,1.500057713069565e-07,8.289445073764166e-06
14,C,,0,0.8222222222222222,0.5333333333333333,0.4007048773774042,0.5648068823288102,0.8222222222222222,0.5333333333333333,0.8222222222222222,3.212446188318424,0.5648068823292902,0.4351931176707098,0.0003076619173617229,9.820387818261075e-05
15,C,,0,0.8222222222222222,0.5333333333333333,0.0657753303929513,0.9961696642716348,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.665903764683943,0.9961696642719676,0.0038303357280323747,1.5364829699861714e-06,1.6995408685711827e-06
